UPS Bypass No Disponible
Fecha Activado:     03/07/2017 04:20:52 p. m.
Fecha Normalizado:  03/07/2017 04:20:55 p. m.

UPS Bypass No Disponible
Fecha Activado:     03/07/2017 04:20:52 p. m.
Fecha Normalizado:  03/07/2017 04:20:55 p. m.

UPS En Baterias
Fecha Activado:     22/06/2017 04:52:20 a. m.
Fecha Normalizado:  22/06/2017 04:52:23 a. m.

UPS En Baterias
Fecha Activado:     22/06/2017 04:50:45 a. m.
Fecha Normalizado:  22/06/2017 04:51:08 a. m.

UPS Bypass No Disponible
Fecha Activado:     22/06/2017 04:50:45 a. m.
Fecha Normalizado:  22/06/2017 04:51:08 a. m.

UPS En Baterias
Fecha Activado:     21/06/2017 04:32:38 p. m.
Fecha Normalizado:  21/06/2017 04:32:41 p. m.

UPS Bypass No Disponible
Fecha Activado:     21/06/2017 04:32:38 p. m.
Fecha Normalizado:  21/06/2017 04:32:41 p. m.

UPS En Baterias
Fecha Activado:     10/06/2017 02:30:19 a. m.
Fecha Normalizado:  10/06/2017 02:30:25 a. m.

UPS En Baterias
Fecha Activado:     08/06/2017 04:07:58 p. m.
Fecha Normalizado:  08/06/2017 04:08:01 p. m.

UPS En Baterias
Fecha Activado:     05/06/2017 04:26:59 p. m.
Fecha Normalizado:  05/06/2017 04:27:05 p. m.

UPS Bypass No Disponible
Fecha Activado:     05/06/2017 04:26:59 p. m.
Fecha Normalizado:  05/06/2017 04:27:05 p. m.

UPS En Baterias
Fecha Activado:     29/05/2017 04:05:56 p. m.
Fecha Normalizado:  29/05/2017 04:05:59 p. m.

UPS ToB
Fecha Activado:     29/05/2017 04:05:56 p. m.
Fecha Normalizado:  29/05/2017 04:05:59 p. m.

UPS Bypass No Disponible
Fecha Activado:     17/05/2017 05:30:45 p. m.
Fecha Normalizado:  17/05/2017 05:30:48 p. m.

EMP Temperatura Remota
Fecha Activado:     17/05/2017 03:23:50 p. m.
Fecha Normalizado:  17/05/2017 10:50:20 p. m.

EMP Temperatura Remota
Fecha Activado:     15/05/2017 01:52:38 p. m.
Fecha Normalizado:  15/05/2017 06:46:00 p. m.

UPS En Baterias
Fecha Activado:     15/05/2017 07:09:23 a. m.
Fecha Normalizado:  15/05/2017 07:09:32 a. m.

UPS Bypass No Disponible
Fecha Activado:     15/05/2017 07:09:23 a. m.
Fecha Normalizado:  15/05/2017 07:09:32 a. m.

UPS En Baterias
Fecha Activado:     15/05/2017 07:07:47 a. m.
Fecha Normalizado:  15/05/2017 07:08:17 a. m.

UPS Bypass No Disponible
Fecha Activado:     15/05/2017 07:07:47 a. m.
Fecha Normalizado:  15/05/2017 07:08:14 a. m.

UPS En Baterias
Fecha Activado:     12/05/2017 03:48:07 p. m.
Fecha Normalizado:  12/05/2017 03:48:10 p. m.

UPS ToB
Fecha Activado:     12/05/2017 03:48:07 p. m.
Fecha Normalizado:  12/05/2017 03:48:10 p. m.

UPS Bypass No Disponible
Fecha Activado:     30/04/2017 02:07:20 p. m.
Fecha Normalizado:  30/04/2017 02:07:23 p. m.

UPS Bypass No Disponible
Fecha Activado:     30/04/2017 02:07:08 p. m.
Fecha Normalizado:  30/04/2017 02:07:11 p. m.

UPS En Baterias
Fecha Activado:     30/04/2017 02:06:32 p. m.
Fecha Normalizado:  30/04/2017 02:06:35 p. m.

UPS ToB
Fecha Activado:     25/04/2017 08:28:29 p. m.
Fecha Normalizado:  25/04/2017 08:28:37 p. m.

UPS Bypass No Disponible
Fecha Activado:     20/04/2017 06:16:04 a. m.
Fecha Normalizado:  20/04/2017 06:16:07 a. m.

UPS ToB
Fecha Activado:     20/04/2017 06:16:04 a. m.
